MGEMLEEF|MOSTYPE|MAANTHUI|MGEMOMV|MOSHOOFD|MGODRK|MGODPR|MGODOV|MGODGE|MRELGE|MRELSA|MRELOV|MFALLEEN|MFGEKIND|MFWEKIND|MOPLHOOG|MOPLMIDD|MOPLLAAG|MBERHOOG|MBERZELF|MBERBOER|MBERMIDD|MBERARBG|MBERARBO|MSKA|MSKB1|MSKB2|MSKC|MSKD|MHHUUR|MHKOOP|MAUT1|MAUT2|MAUT0|MZFONDS|MZPART|MINKM30|MINK3045|MINK4575|MINK7512|MINK123M|MINKGEM|MKOOPKLA|PWAPART|PWABEDR|PWALAND|PPERSAUT|PBESAUT|PMOTSCO|PVRAAUT|PAANHANG|PTRACTOR|PWERKT|PBROM|PLEVEN|PPERSONG|PGEZONG|PWAOREG|PBRAND|PZEILPL|PPLEZIER|PFIETS|PINBOED|PBYSTAND|AWAPART|AWABEDR|AWALAND|APERSAUT|ABESAUT|AMOTSCO|AVRAAUT|AAANHANG|ATRACTOR|AWERKT|ABROM|ALEVEN|APERSONG|AGEZONG|AWAOREG|ABRAND|AZEILPL|APLEZIER|AFIETS|AINBOED|ABYSTAND|CARAVAN|MOSTYPECAT|MGEMLEEFCAT
1|16|1|1|4|1|4|1|5|1|2|7|6|3|0|3|6|0|1|1|0|4|2|3|0|0|5|4|0|9|0|3|1|5|6|3|9|0|0|0|0|1|1|0|0|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Students in apartments|20-30 years
1|16|1|1|4|2|2|1|6|1|2|7|7|2|0|5|4|0|2|0|0|7|0|1|3|4|3|1|0|9|0|5|0|4|4|5|4|4|1|2|0|3|1|0|0|0|6|0|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Students in apartments|20-30 years
1|16|1|1|4|2|2|1|6|2|2|6|9|0|0|9|0|0|3|0|0|4|1|3|0|2|7|0|0|9|0|2|1|7|4|5|6|3|0|0|0|2|1|2|0|0|6|0|0|0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|Students in apartments|20-30 years
1|16|1|2|4|0|4|3|3|2|3|5|5|4|1|7|2|1|2|0|0|0|2|6|2|2|5|1|1|8|1|3|0|6|6|3|8|1|1|0|0|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Students in apartments|20-30 years
1|16|1|2|4|2|1|0|6|1|3|6|6|2|2|7|2|0|4|0|0|5|0|0|2|3|5|0|0|9|0|3|1|5|3|6|5|3|2|0|0|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|Students in apartments|20-30 years
1|16|2|1|4|3|0|1|6|1|2|7|8|1|1|8|1|0|2|1|0|2|0|5|1|1|7|1|0|8|1|3|1|6|3|6|8|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|Students in apartments|20-30 years
1|16|2|1|4|4|3|0|3|2|3|5|8|0|1|8|1|1|3|0|0|4|3|0|0|0|8|1|1|8|1|5|0|4|6|3|8|0|1|0|0|1|1|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Students in apartments|20-30 years
1|18|1|1|4|0|5|0|5|0|0|9|9|0|0|9|0|0|0|0|0|0|0|9|9|0|0|0|0|9|0|0|0|9|9|0|9|0|0|0|0|1|3|0|0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Single youth|20-30 years
1|18|2|1|4|1|3|0|5|0|1|8|8|1|0|5|4|0|2|0|0|5|0|2|1|2|5|2|0|9|0|2|0|7|6|3|8|1|0|0|0|1|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Single youth|20-30 years
1|21|2|2|5|0|0|0|9|0|0|9|5|3|2|0|7|2|0|0|3|0|0|6|0|2|5|3|0|9|0|2|0|7|7|2|6|2|2|0|0|2|2|0|0|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Young urban have-nots|20-30 years
